Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2013	2014	2015	2016	2017	2018	2019	2020	Estimates Start After
Australia	Gross domestic product, constant prices	National currency	Billions	Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2012/13 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2015	1,536.590	1,578.223	1,623.128	1,674.434	1,726.493	1,777.878	1,829.250	1,880.954	2014
Australia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.057	2.709	2.845	3.161	3.109	2.976	2.890	2.827	2014
Australia	Gross domestic product, current prices	National currency	Billions	Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2014 National accounts manual used: SNA 2008 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2012/13 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 03/2015	1,550.849	1,599.790	1,615.125	1,689.035	1,768.623	1,853.075	1,950.376	2,052.622	2014
Australia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,501.883	1,444.189	1,252.273	1,281.729	1,323.938	1,370.832	1,427.612	1,490.895	2014
Australia	Gross domestic product, deflator	Index		See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).	100.928	101.367	99.507	100.872	102.440	104.230	106.622	109.127	2014
Australia	Gross domestic product per capita, constant prices	National currency	Units	See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).	65,917.667	66,900.857	67,988.499	69,305.914	70,578.439	71,781.757	72,944.107	74,079.908	2013
Australia	Gross domestic product per capita, current prices	National currency	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	66,529.359	67,815.082	67,653.275	69,910.263	72,300.698	74,817.837	77,774.217	80,840.901	2013
Australia	Gross domestic product per capita, current prices	U.S. dollars	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	64,428.801	61,219.156	52,454.381	53,051.608	54,122.129	55,347.310	56,928.188	58,717.716	2013
Australia	Output gap in percent of potential GDP	Percent of potential GDP		See notes for:  Gross domestic product, constant prices (National currency).	-1.349	-1.400	-1.367	-1.058	n/a	n/a	n/a	n/a	2014
Australia	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	Current international dollar	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,051.164	1,095.384	1,136.565	1,190.055	1,252.310	1,317.298	1,382.376	1,449.532	2014
Australia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	45,093.545	46,433.299	47,607.697	49,257.142	51,193.988	53,185.851	55,124.357	57,088.686	2013
Australia	Gross domestic product based on purchasing-power-parity (PPP) share of world total	Percent		See notes for:  Gross domestic product, current prices (National currency).	1.021	1.015	1.010	1.005	0.998	0.990	0.980	0.970	2011
Australia	Implied PPP conversion rate	National currency per current international dollar		See notes for:  Gross domestic product, current prices (National currency).	1.475	1.460	1.421	1.419	1.412	1.407	1.411	1.416	2014
